ID,Brand,Model,Year,Color,Mileage,Price,Condition
7023,Ford,Escape,2021,Green,2846,44576,Used
7024,Mercedes-Benz,Generic Model 3,1998,Red,145651,11624,New
7025,Nissan,Generic Model 3,2013,Red,62563,76996,Used
7026,Honda,Fit,2020,White,42409,49455,New
7027,Kia,Generic Model 2,2006,Blue,17308,6827,New
7028,Hyundai,Generic Model 2,2006,Silver,19720,55886,New
7029,Hyundai,Generic Model 1,2011,White,116195,10079,New
7030,Mercedes-Benz,Generic Model 2,2007,Black,56980,77709,New
7031,Porsche,Generic Model 1,2022,White,71074,51557,Used
7032,Chevrolet,Generic Model 2,2014,Silver,34937,18221,Used
7033,Chevrolet,Generic Model 1,2015,Silver,55716,50124,New
7034,Land Rover,Generic Model 3,2019,Silver,160351,24881,New
7035,Land Rover,Generic Model 1,2013,Green,115545,63778,Used
7036,Audi,Generic Model 2,2004,White,49884,53360,New
7037,Subaru,Generic Model 1,1991,Red,116874,36685,Used
7038,Audi,Generic Model 2,2001,White,38250,40546,New
7039,Nissan,Generic Model 2,2013,Black,16046,13982,New
7040,Toyota,Tacoma,2003,Red,38822,30661,New
7041,Kia,Generic Model 1,2001,Silver,38068,66402,Used
7042,BMW,Generic Model 3,2009,White,24781,20448,Used
7043,Honda,Civic,2019,Black,140321,72774,Used
7044,Tesla,Generic Model 2,1990,Green,145520,27656,Used
7045,Chevrolet,Generic Model 1,2016,Green,191477,39564,New
7046,Porsche,Generic Model 3,1990,Blue,148380,8907,Used
7047,Chevrolet,Generic Model 3,2000,Green,155757,38829,Used
7048,Toyota,Highlander,2016,Black,8420,5401,Used
7049,Porsche,Generic Model 3,1990,Black,171852,74738,Used
7050,Subaru,Generic Model 1,1992,White,61173,69787,New
7051,Porsche,Generic Model 3,2011,Black,88873,57560,New
7052,Volkswagen,Generic Model 1,2014,Silver,184841,29117,Used
7053,Toyota,Highlander,2010,Green,148592,34051,Used
7054,Toyota,Prius,2005,Silver,86456,21832,Used
7055,Jeep,Generic Model 2,2009,Red,117788,20403,Used
7056,Land Rover,Generic Model 2,1994,Black,150199,19420,New
7057,Porsche,Generic Model 1,2001,Red,60597,48863,New
7058,Land Rover,Generic Model 2,1993,Red,150595,33720,Used
7059,Volkswagen,Generic Model 3,2009,Silver,40009,68657,New
7060,Volvo,Generic Model 3,2010,Red,112289,48006,Used
7061,Volvo,Generic Model 1,2002,Black,134192,44615,Used
7062,Porsche,Generic Model 3,2012,Blue,4776,60166,New
7063,Jaguar,Generic Model 3,2010,Blue,70015,59275,New
7064,Tesla,Generic Model 1,2000,Blue,7696,47481,Used
7065,Toyota,Tacoma,2006,Green,46380,7528,New
7066,Chevrolet,Generic Model 1,2001,Blue,42495,48398,New
7067,Jaguar,Generic Model 1,2001,Black,51521,69817,Used
7068,Kia,Generic Model 2,2010,White,141032,55388,Used
7069,Audi,Generic Model 1,1991,Green,170733,6488,Used
7070,Honda,CR-V,2015,Green,162985,76410,Used
7071,Toyota,Tacoma,2019,Silver,93917,45687,New
7072,Tesla,Generic Model 2,2014,Silver,73316,8518,Used
7073,Mercedes-Benz,Generic Model 2,1998,Blue,234,43187,New
7074,Kia,Generic Model 2,1997,Black,118543,6235,Used
7075,Nissan,Generic Model 3,2013,White,64871,57570,New
7076,Tesla,Generic Model 3,1993,Black,105123,10306,New
7077,Toyota,RAV4,1998,Green,39902,39626,New
7078,Nissan,Generic Model 2,2019,White,190156,61170,New
7079,Kia,Generic Model 1,1990,Black,37782,78240,New
7080,Volkswagen,Generic Model 1,2015,Green,13636,24843,New
7081,Tesla,Generic Model 2,2018,Red,114081,32633,New
7082,Chevrolet,Generic Model 1,1996,Green,138542,57995,Used
7083,Jeep,Generic Model 1,2008,Green,92756,9413,Used
7084,Volkswagen,Generic Model 2,1990,Black,344,25584,New
7085,Mercedes-Benz,Generic Model 3,2018,Blue,194957,43112,New
7086,Toyota,Highlander,1990,White,165466,61938,Used
7087,Volvo,Generic Model 2,1996,White,197154,22011,Used
7088,Porsche,Generic Model 3,1998,Blue,154998,61662,Used
7089,Mazda,Generic Model 2,1993,Green,21381,31051,New
7090,Chevrolet,Generic Model 1,2010,Silver,49595,44281,New
7091,Kia,Generic Model 2,2003,Green,150903,35450,Used
7092,Porsche,Generic Model 1,2006,Blue,46404,78553,New
7093,Subaru,Generic Model 1,2020,Black,176145,56787,New
7094,Jeep,Generic Model 1,2017,Black,74016,62470,New
7095,Jaguar,Generic Model 3,1993,Blue,145540,34226,New
7096,Kia,Generic Model 3,2021,Silver,27173,8797,New
7097,Subaru,Generic Model 1,2017,Blue,97057,43403,New
7098,Volvo,Generic Model 3,1990,Silver,160167,20501,Used
7099,Tesla,Generic Model 3,2000,Red,176713,62155,New
7100,Tesla,Generic Model 1,2020,White,173888,42659,Used
7101,Mercedes-Benz,Generic Model 3,2021,Black,123928,58723,New
7102,Ford,Edge,2022,Red,106816,47603,Used
7103,Mazda,Generic Model 2,2006,Silver,23082,50988,Used
7104,Ford,Edge,1990,Silver,1924,9926,Used
7105,Subaru,Generic Model 2,2013,Blue,74860,76004,Used
7106,Audi,Generic Model 3,2010,Silver,104822,56783,Used
7107,Ford,Focus,2005,Silver,21127,77930,Used
7108,Toyota,Highlander,2001,Silver,70929,32888,Used
7109,Audi,Generic Model 2,2020,Blue,39892,28280,Used
7110,Audi,Generic Model 3,2019,Green,17823,51434,New
7111,Chevrolet,Generic Model 3,1994,Green,178943,32929,Used
7112,Volvo,Generic Model 2,2010,Silver,86425,78889,Used
7113,Volvo,Generic Model 3,2012,White,145260,77610,New
7114,Volkswagen,Generic Model 2,1997,Blue,59501,24407,Used
7115,Nissan,Generic Model 1,1990,White,194193,24820,Used
7116,Mazda,Generic Model 2,2002,Green,142667,14257,Used
7117,Chevrolet,Generic Model 2,1998,White,179873,35342,New
7118,Hyundai,Generic Model 1,1991,Black,189397,58212,New
7119,Toyota,Prius,2018,Blue,24787,79418,Used
7120,Lexus,Generic Model 3,1993,Silver,122536,19351,New
7121,Chevrolet,Generic Model 2,2002,Red,38415,9133,Used
7122,Toyota,RAV4,2012,Silver,20026,51422,New
7123,Tesla,Generic Model 3,1999,White,81040,15220,Used
7124,Honda,CR-V,2008,Silver,79764,28215,Used
7125,Volkswagen,Generic Model 3,2006,Red,122137,67282,Used
7126,Ford,F-150,2008,White,66512,28067,Used
7127,Nissan,Generic Model 2,2020,Red,194664,47989,New
7128,Volvo,Generic Model 3,2015,Silver,16116,59913,Used
7129,Nissan,Generic Model 2,1993,Red,128044,13318,New
7130,BMW,Generic Model 2,1992,Red,110598,46076,Used
7131,Honda,CR-V,2002,White,164929,12304,New
7132,Jeep,Generic Model 3,2014,White,8971,79854,Used
7133,Mercedes-Benz,Generic Model 1,2006,Black,188319,56613,New
7134,Toyota,Corolla,2002,White,159639,12773,New
7135,Nissan,Generic Model 3,1997,Green,114050,41689,Used
7136,Porsche,Generic Model 3,2021,Blue,113339,78725,New
7137,Chevrolet,Generic Model 3,1992,Black,72101,17185,Used
7138,Hyundai,Generic Model 1,2004,Black,118142,6752,Used
7139,Porsche,Generic Model 2,1991,White,21658,8711,Used
7140,Nissan,Generic Model 3,2013,White,172257,13730,Used
7141,Mazda,Generic Model 1,1993,Silver,7709,78863,New
7142,Volvo,Generic Model 2,2021,Blue,18719,16525,New
7143,Jeep,Generic Model 2,2014,Silver,40132,38165,New
7144,Audi,Generic Model 3,2006,White,128376,78032,Used
7145,Mazda,Generic Model 1,1994,Black,111840,40982,Used
7146,Subaru,Generic Model 2,2004,Red,168556,72773,Used
7147,Lexus,Generic Model 3,2021,Black,124072,78642,New
7148,Audi,Generic Model 1,2006,Silver,131016,41941,New
7149,BMW,Generic Model 1,2011,White,173908,45725,New
7150,Kia,Generic Model 1,2006,Blue,182244,44536,Used
7151,Mazda,Generic Model 3,2017,Silver,185974,73660,New
7152,Jeep,Generic Model 3,2000,Green,2884,9163,New
7153,Chevrolet,Generic Model 1,2002,White,17159,78195,New
7154,Mazda,Generic Model 2,2003,White,152072,29748,New
7155,Tesla,Generic Model 2,2000,Green,106360,27143,Used
7156,Lexus,Generic Model 1,2002,Black,150880,71528,New
7157,Mercedes-Benz,Generic Model 1,1991,White,2930,36808,New
7158,Honda,Fit,1994,Black,96917,35591,Used
7159,BMW,Generic Model 2,2020,Silver,58819,31666,Used
7160,Chevrolet,Generic Model 3,1994,Silver,157347,78308,New
7161,Hyundai,Generic Model 3,1997,Red,147063,29926,Used
7162,Mercedes-Benz,Generic Model 3,2019,Black,81769,34901,Used
7163,Jeep,Generic Model 2,2001,Blue,160531,66685,New
7164,Kia,Generic Model 1,2003,Blue,154070,59848,New
7165,Mercedes-Benz,Generic Model 3,2010,White,149647,46226,Used
7166,Chevrolet,Generic Model 3,2003,Black,22060,56145,New
7167,Honda,Fit,2020,White,44342,23293,New
7168,Audi,Generic Model 1,2005,Blue,44084,62542,New
7169,Chevrolet,Generic Model 3,2001,Silver,125345,20013,New
7170,Chevrolet,Generic Model 1,2009,White,196250,73445,Used
7171,Audi,Generic Model 2,2012,Black,127789,25450,New
7172,Kia,Generic Model 3,2006,Black,169804,66833,New
7173,Volvo,Generic Model 2,2019,Black,157884,63578,Used
7174,Lexus,Generic Model 3,2019,White,155910,5080,Used
7175,Jeep,Generic Model 3,2000,Black,43440,79761,New
7176,Kia,Generic Model 3,2003,White,111114,50309,New
7177,Audi,Generic Model 1,1994,Green,147676,33234,Used
7178,Lexus,Generic Model 3,1993,Silver,20564,14236,Used
7179,Tesla,Generic Model 2,1991,White,162561,24845,New
7180,Jeep,Generic Model 1,2020,Green,90423,22092,New
7181,Audi,Generic Model 2,1996,Black,2707,48833,New
7182,Subaru,Generic Model 3,2004,White,150786,56797,Used
7183,Lexus,Generic Model 1,1998,Red,31150,12188,New
7184,Subaru,Generic Model 1,2009,Red,64385,18705,New
7185,Lexus,Generic Model 2,1993,Silver,71548,52594,New
7186,Volvo,Generic Model 1,2017,Silver,193587,13186,New
7187,Hyundai,Generic Model 3,2015,Silver,141343,70791,New
7188,Porsche,Generic Model 1,2000,Red,81411,11451,Used
7189,Subaru,Generic Model 3,1990,Blue,199235,36436,New
7190,Honda,Odyssey,1992,Green,117980,36820,New
7191,BMW,Generic Model 1,2004,White,51623,55487,New
7192,Tesla,Generic Model 1,1991,Black,38365,26688,New
7193,Mercedes-Benz,Generic Model 3,2007,Blue,2426,46060,New
7194,Tesla,Generic Model 2,2014,Green,106597,41270,Used
7195,Mazda,Generic Model 1,2003,Blue,11360,79939,Used
7196,Subaru,Generic Model 3,2007,Red,166866,50740,Used
7197,Kia,Generic Model 2,2005,Blue,17399,9834,New
7198,Audi,Generic Model 2,1992,Green,31887,15096,New
7199,Volvo,Generic Model 1,2006,Blue,21322,52376,Used
7200,Lexus,Generic Model 1,1994,Blue,129559,14670,New
7201,Porsche,Generic Model 3,2013,Black,142025,56956,Used
7202,BMW,Generic Model 3,1997,Green,196979,76488,New
7203,Lexus,Generic Model 3,2006,Red,87100,21803,Used
7204,Porsche,Generic Model 2,1991,Black,4813,21771,Used
7205,Porsche,Generic Model 3,1992,Blue,184936,74090,Used
7206,Volvo,Generic Model 1,2007,Black,4557,79554,New
7207,Nissan,Generic Model 3,2009,Blue,13447,42328,New
7208,Nissan,Generic Model 1,2021,Green,88253,63316,New
7209,Volkswagen,Generic Model 2,2008,Green,38739,15351,New
7210,Land Rover,Generic Model 2,2003,Blue,186104,76221,Used
7211,Honda,Civic,1992,Red,57691,52261,New
7212,Hyundai,Generic Model 2,2010,White,12269,34630,Used
7213,Subaru,Generic Model 2,1990,Red,143930,15747,Used
7214,Nissan,Generic Model 2,1999,Red,91863,33099,Used
7215,Mercedes-Benz,Generic Model 1,1990,Silver,110147,76223,New
7216,BMW,Generic Model 3,2009,Black,192644,32073,Used
7217,Volvo,Generic Model 1,1999,White,23437,42721,New
7218,Land Rover,Generic Model 2,1993,Silver,103245,73726,Used
7219,Hyundai,Generic Model 1,2005,Green,92053,31106,New
7220,Lexus,Generic Model 3,1993,Blue,138796,30716,New
7221,Lexus,Generic Model 1,2016,Red,90167,65947,Used
7222,Chevrolet,Generic Model 2,2003,Blue,28466,37691,Used
7223,BMW,Generic Model 2,1998,Black,187550,27758,Used
7224,Tesla,Generic Model 1,2020,Green,164766,10811,New
7225,Nissan,Generic Model 2,1991,Green,36183,51133,Used
7226,Audi,Generic Model 2,2002,Green,43024,5853,New
7227,Land Rover,Generic Model 2,2009,Silver,11595,6366,New
7228,BMW,Generic Model 1,2001,Red,21236,66743,New
7229,Lexus,Generic Model 3,2016,White,113329,71769,Used
7230,Tesla,Generic Model 2,2019,Blue,103157,26204,Used
7231,Ford,Escape,2012,Silver,8790,65082,New
7232,Ford,Escape,1993,Blue,167925,40853,New
7233,Toyota,Prius,2009,Blue,169230,64654,New
7234,Chevrolet,Generic Model 2,2005,Black,39212,60062,Used
7235,Audi,Generic Model 3,2010,Red,131318,58371,New
7236,Kia,Generic Model 2,2002,Red,6769,41006,Used
7237,Volvo,Generic Model 2,2007,Silver,189824,36595,New
7238,Ford,Explorer,1990,Green,58323,53592,New
7239,Porsche,Generic Model 1,1992,Blue,77391,15257,Used
7240,Hyundai,Generic Model 3,2014,White,41796,45052,Used
7241,Jaguar,Generic Model 1,1994,White,3984,50034,Used
7242,Lexus,Generic Model 2,2009,Black,165743,74953,New
7243,Lexus,Generic Model 2,2007,Silver,126839,55733,New
7244,Toyota,Camry,2016,Red,25646,49240,New
7245,Ford,Mustang,2016,Green,13348,43396,New
7246,Honda,Pilot,2000,Green,22037,10938,Used
7247,Jeep,Generic Model 3,1993,Silver,150681,63823,New
7248,Mazda,Generic Model 2,1994,Green,196847,23619,Used
7249,Mazda,Generic Model 3,1999,Blue,181955,37585,New
7250,Jaguar,Generic Model 1,2017,Red,73858,14146,New
7251,Chevrolet,Generic Model 2,1999,Red,6556,17514,New
7252,Jaguar,Generic Model 1,2013,Red,125675,48894,New
7253,Kia,Generic Model 2,2017,Black,115897,5836,New
7254,Jaguar,Generic Model 3,2012,White,175724,39449,New
7255,BMW,Generic Model 3,1992,Silver,22977,30587,New
7256,BMW,Generic Model 2,2021,Blue,165446,9182,New
7257,BMW,Generic Model 1,2007,Green,54035,55861,New
7258,Jeep,Generic Model 3,1992,White,18478,32502,New
7259,Jaguar,Generic Model 1,2016,Green,7149,66913,New
7260,Jeep,Generic Model 1,1991,Black,162437,78631,Used
7261,BMW,Generic Model 2,2020,Black,91188,22492,Used
7262,Volvo,Generic Model 1,1992,White,176248,34697,New
7263,Hyundai,Generic Model 2,1999,Silver,79609,5080,New
7264,Porsche,Generic Model 1,2009,White,182785,32469,Used
7265,Mercedes-Benz,Generic Model 2,2014,Black,127597,64714,Used
7266,Volkswagen,Generic Model 3,1998,Black,115727,50963,Used
7267,Kia,Generic Model 1,1999,Green,160739,74982,New
7268,Land Rover,Generic Model 3,2019,White,142158,17782,New
7269,Toyota,Tacoma,2003,Silver,198641,13104,Used
7270,Ford,Mustang,1999,Green,26713,24493,New
7271,Lexus,Generic Model 1,2021,Green,47336,32884,Used
7272,Chevrolet,Generic Model 2,2006,Green,188807,30080,Used
7273,Volvo,Generic Model 2,2010,White,177346,53826,New
7274,Subaru,Generic Model 2,2022,Black,2872,24837,Used
7275,Nissan,Generic Model 2,1992,Blue,44831,5328,Used
7276,Ford,F-150,2007,Silver,26386,73784,Used
7277,Land Rover,Generic Model 2,2017,Green,170685,24534,New
7278,Volvo,Generic Model 1,2003,Blue,86249,34667,New
7279,Tesla,Generic Model 2,1995,Black,169885,17978,Used
7280,Audi,Generic Model 1,1992,Green,183649,57424,New
7281,BMW,Generic Model 2,2009,White,85351,70862,New
7282,Volvo,Generic Model 1,2017,Blue,143208,70786,Used
7283,Honda,Accord,2018,Silver,62544,53497,New
7284,Tesla,Generic Model 2,2001,White,144872,63387,New
7285,Tesla,Generic Model 1,2006,Silver,164588,6773,Used
7286,Jaguar,Generic Model 1,2022,Green,190090,49192,New
7287,Volkswagen,Generic Model 3,2008,Blue,555,75293,Used
7288,Subaru,Generic Model 1,1996,White,164853,67009,Used
7289,Kia,Generic Model 2,2005,Black,148561,67891,Used
7290,Mercedes-Benz,Generic Model 3,1997,Blue,58491,72241,Used
7291,Subaru,Generic Model 2,2020,Blue,114987,37889,New
7292,Nissan,Generic Model 3,1999,Silver,88714,59476,New
7293,Volvo,Generic Model 3,1993,White,46839,23589,Used
7294,Nissan,Generic Model 3,2015,Green,153070,78321,Used
7295,Volvo,Generic Model 2,1997,White,129391,6049,New
7296,Mazda,Generic Model 2,2000,Red,187736,74177,New
7297,Volkswagen,Generic Model 2,2018,Blue,105631,58553,Used
7298,Chevrolet,Generic Model 1,1994,White,148565,21249,Used
7299,Jeep,Generic Model 3,2022,Black,123302,28455,New
7300,Nissan,Generic Model 1,2016,Red,58746,56802,New
7301,Chevrolet,Generic Model 3,2021,Black,131411,5311,New
7302,Hyundai,Generic Model 3,2011,Silver,77161,77837,New
7303,Toyota,Highlander,2004,Silver,6687,67515,New
7304,Jeep,Generic Model 3,2018,White,117343,32520,Used
7305,Porsche,Generic Model 2,2008,Blue,135598,60886,Used
7306,Mazda,Generic Model 3,1996,Red,118133,11622,Used
7307,Volvo,Generic Model 3,1996,Silver,15022,79089,New
7308,Mazda,Generic Model 3,1992,White,67303,45758,Used
7309,Subaru,Generic Model 2,2012,Green,69399,15302,Used
7310,Volkswagen,Generic Model 3,2005,Green,32233,36483,Used
7311,Mazda,Generic Model 3,2013,White,25166,37926,New
7312,Volkswagen,Generic Model 3,2001,Green,6888,35725,Used
7313,BMW,Generic Model 2,2013,White,177067,79659,Used
7314,Chevrolet,Generic Model 3,2005,Silver,94188,70138,New
7315,Tesla,Generic Model 3,2012,Black,102949,58178,New
7316,Chevrolet,Generic Model 3,2007,Green,57406,62683,Used
7317,Volkswagen,Generic Model 3,2009,Red,194938,61296,Used
7318,Nissan,Generic Model 3,2018,Green,48343,54622,Used
7319,Porsche,Generic Model 2,2022,White,70390,68312,Used
7320,Toyota,Highlander,2012,Green,152262,16071,Used
7321,Mazda,Generic Model 1,2013,Blue,65098,50648,New
7322,Kia,Generic Model 1,1996,Blue,170856,38330,Used
7323,Honda,Civic,2007,White,120999,49972,Used
7324,Volvo,Generic Model 1,2017,Red,168742,23807,Used
7325,Hyundai,Generic Model 2,2014,Black,42829,29560,Used
7326,BMW,Generic Model 2,1997,White,123979,45499,New
7327,Porsche,Generic Model 2,2008,Blue,39141,34898,Used
7328,Volkswagen,Generic Model 2,1995,White,178361,26993,Used
7329,Land Rover,Generic Model 2,2017,Green,66078,60035,Used
7330,Porsche,Generic Model 3,1996,White,27013,73912,New
7331,Chevrolet,Generic Model 2,1992,White,55934,26421,New
7332,Lexus,Generic Model 2,1996,White,159286,33820,New
7333,Volvo,Generic Model 1,2019,Black,185268,60436,New
7334,Toyota,Highlander,2002,Red,88968,34893,New
7335,Volvo,Generic Model 1,2014,Blue,144014,60062,New
7336,BMW,Generic Model 2,2000,White,117596,67447,New
7337,Chevrolet,Generic Model 3,2012,Green,41559,16402,Used
7338,Ford,Edge,1992,Green,32285,50289,Used
7339,Tesla,Generic Model 1,2003,Black,195792,18584,Used
7340,Tesla,Generic Model 2,2011,Black,29797,53636,New
7341,Mercedes-Benz,Generic Model 3,2008,Blue,140207,59610,Used
7342,Volkswagen,Generic Model 1,2005,Red,9368,6580,Used
7343,Jeep,Generic Model 2,2009,Red,30263,17139,New
7344,Honda,Civic,2002,Red,93228,43405,New
7345,Jeep,Generic Model 1,2014,Silver,77657,29925,New
7346,Jeep,Generic Model 2,2011,Black,128771,36705,Used
7347,Ford,Edge,2014,Red,185500,17579,New
7348,Hyundai,Generic Model 1,2013,Silver,42249,16933,New
7349,Subaru,Generic Model 1,2014,Silver,165306,22516,New
7350,Jaguar,Generic Model 3,1998,Green,95984,76236,New
7351,Audi,Generic Model 3,2006,Black,191936,58465,New
7352,Chevrolet,Generic Model 3,2000,Silver,112996,10139,Used
7353,Jeep,Generic Model 2,2020,Silver,171466,71911,New
7354,Nissan,Generic Model 2,2019,Silver,20266,67903,Used
7355,Jaguar,Generic Model 2,2008,White,185363,32732,Used
7356,Volvo,Generic Model 1,2014,Black,71839,47537,Used
7357,Subaru,Generic Model 1,2019,Red,104834,40711,New
7358,Toyota,Camry,1997,Green,89355,58122,New
7359,Tesla,Generic Model 3,2022,Black,112607,57585,Used
7360,Chevrolet,Generic Model 1,1997,Red,196615,46233,New
7361,Land Rover,Generic Model 3,1998,Silver,38148,79002,Used
7362,Volkswagen,Generic Model 2,1993,Green,161813,61227,Used
7363,Toyota,Camry,2020,Red,31908,59890,Used
7364,Lexus,Generic Model 1,2011,Blue,199231,66242,Used
7365,Land Rover,Generic Model 1,2017,White,26149,59320,Used
7366,Audi,Generic Model 1,2021,Green,856,66759,New
7367,Land Rover,Generic Model 3,2017,Blue,26803,6626,Used
7368,Nissan,Generic Model 2,2003,Black,187438,9122,New
7369,Kia,Generic Model 1,2005,Silver,65158,21973,New
7370,Lexus,Generic Model 2,1998,Silver,95484,7244,Used
7371,Mercedes-Benz,Generic Model 2,2005,Red,21490,44003,Used
7372,Kia,Generic Model 1,1997,Blue,46836,66497,Used
7373,Audi,Generic Model 1,1999,Silver,16640,58664,Used
7374,Land Rover,Generic Model 1,2009,Silver,41732,19717,Used
7375,Audi,Generic Model 2,1994,Green,91213,21671,Used
7376,Volvo,Generic Model 3,2009,Black,43620,76511,Used
7377,Volvo,Generic Model 3,1998,Green,88769,19682,Used
7378,Hyundai,Generic Model 2,2021,Silver,18426,65923,Used
7379,Jeep,Generic Model 2,2001,Blue,41300,24949,New
7380,Volkswagen,Generic Model 1,1999,Red,129100,40069,Used
7381,Land Rover,Generic Model 3,2009,White,103785,50759,Used
7382,Porsche,Generic Model 2,2000,Green,7537,30358,Used
7383,Volvo,Generic Model 1,2021,Black,138993,17512,New
7384,Mercedes-Benz,Generic Model 1,2019,Red,128056,21447,New
7385,Jaguar,Generic Model 3,1998,Red,129724,52444,New
7386,Volkswagen,Generic Model 1,2017,Blue,18556,78247,New
7387,Kia,Generic Model 3,2004,Blue,93219,23819,Used
7388,Ford,Mustang,1998,Blue,157319,79184,Used
7389,Chevrolet,Generic Model 1,2000,White,134319,56510,Used
7390,Porsche,Generic Model 3,1996,Red,165586,65260,Used
7391,Porsche,Generic Model 1,2013,Black,108737,23290,New
7392,Chevrolet,Generic Model 2,2004,Green,18408,63560,New
7393,Ford,F-150,2011,White,140582,78157,Used
7394,Lexus,Generic Model 1,2000,Silver,24911,42387,New
7395,Chevrolet,Generic Model 2,1996,Red,36030,72688,New
7396,Jaguar,Generic Model 3,1995,Silver,96694,37991,Used
7397,Ford,Focus,2009,Black,95518,5387,New
7398,Jeep,Generic Model 2,2014,White,18381,41877,New
7399,Volkswagen,Generic Model 2,1999,Silver,155247,21440,New
7400,Jeep,Generic Model 1,1995,Green,120619,34563,New
7401,Nissan,Generic Model 1,2021,Blue,171091,13867,New
7402,Land Rover,Generic Model 1,1991,Red,78787,70097,Used
7403,Jeep,Generic Model 2,1993,Green,77701,20698,New
7404,Mercedes-Benz,Generic Model 3,2013,Black,158984,78155,New
7405,Kia,Generic Model 3,2003,Silver,18758,68185,New
7406,Ford,Explorer,2008,Red,44559,67159,Used
7407,Nissan,Generic Model 3,2019,Silver,175831,50981,New
7408,Kia,Generic Model 2,2016,White,19134,26075,New
7409,Tesla,Generic Model 1,2000,Silver,189785,70340,Used
7410,Toyota,Highlander,1991,Blue,184714,46281,New
7411,Audi,Generic Model 1,2019,Red,68999,39751,Used
7412,Land Rover,Generic Model 2,2022,Green,104849,74598,Used
7413,Subaru,Generic Model 2,2001,Red,100828,11424,Used
7414,Volkswagen,Generic Model 2,1995,White,18019,71669,New
7415,Nissan,Generic Model 3,2011,Blue,153325,48979,Used
7416,Volkswagen,Generic Model 3,2015,Green,66429,49509,New
7417,Tesla,Generic Model 1,2008,Green,19994,58447,New
7418,Nissan,Generic Model 1,2005,Blue,63668,44651,Used
7419,Jaguar,Generic Model 1,2020,Green,41708,18258,Used
7420,Subaru,Generic Model 2,2008,Green,115865,52152,New
7421,Hyundai,Generic Model 2,1994,Silver,140924,38546,New
7422,Jeep,Generic Model 2,2012,White,157832,70410,Used
7423,Audi,Generic Model 3,2011,Red,99531,70112,New
7424,Jeep,Generic Model 2,2021,Green,70712,46494,Used
7425,Mazda,Generic Model 1,2012,Red,80575,41960,Used
7426,Toyota,Tacoma,2012,Black,98567,34002,New
7427,Chevrolet,Generic Model 1,2008,Blue,134592,48674,Used
7428,Lexus,Generic Model 3,1992,White,108280,36808,New
7429,Porsche,Generic Model 2,2013,Blue,143770,20668,Used
7430,Audi,Generic Model 3,2020,Red,187246,66836,Used
7431,Land Rover,Generic Model 3,2014,Green,39273,76682,New
7432,Mercedes-Benz,Generic Model 1,2010,Red,29690,8245,Used
7433,Tesla,Generic Model 1,1991,Blue,27083,58940,New
7434,Jaguar,Generic Model 2,2000,Silver,9300,77927,Used
7435,Subaru,Generic Model 2,2014,Green,66069,58731,Used
7436,Nissan,Generic Model 2,1998,Green,161014,57074,New
7437,Ford,Explorer,2014,Blue,108725,64538,New
7438,Tesla,Generic Model 1,1995,White,61466,18894,New
7439,Hyundai,Generic Model 3,2018,Red,149647,21043,Used
7440,Hyundai,Generic Model 3,2007,Black,131990,21085,New
7441,Mazda,Generic Model 1,2002,Red,150366,22671,New
7442,Volkswagen,Generic Model 1,2005,Red,120621,66687,Used
7443,Chevrolet,Generic Model 1,1991,Silver,12390,5821,New
7444,Hyundai,Generic Model 1,2005,Red,195071,39616,Used
7445,Jeep,Generic Model 1,2000,White,54578,30808,Used
7446,Land Rover,Generic Model 1,2020,Silver,118545,39431,New
7447,Volvo,Generic Model 2,2005,Red,86425,77694,Used
7448,Mercedes-Benz,Generic Model 1,2002,Silver,103864,12763,Used
7449,Volvo,Generic Model 2,2017,Red,100592,10774,Used
7450,Audi,Generic Model 2,2004,Black,87785,15319,New
7451,Volvo,Generic Model 2,2001,Black,9902,38801,Used
7452,Mazda,Generic Model 1,1995,Blue,149249,79115,New
7453,Audi,Generic Model 3,2022,Black,80493,8967,Used
7454,Land Rover,Generic Model 1,1993,Black,146265,41628,New
7455,Subaru,Generic Model 1,2022,Red,4812,68161,Used
7456,Chevrolet,Generic Model 3,1993,Red,144031,57784,Used
7457,Volvo,Generic Model 3,1994,Green,55876,76936,New
7458,Audi,Generic Model 3,2018,White,85604,40925,Used
7459,Honda,Accord,2013,White,89535,67136,New
7460,Kia,Generic Model 1,1996,White,93849,32482,New
7461,Tesla,Generic Model 3,2010,Red,7974,79415,Used
7462,BMW,Generic Model 2,2006,Green,104458,13549,Used
7463,Volkswagen,Generic Model 1,2016,Black,60687,24878,New
7464,Volkswagen,Generic Model 3,1992,White,175645,50413,Used
7465,Mercedes-Benz,Generic Model 2,2001,Red,39404,68014,Used
7466,Tesla,Generic Model 2,2019,Black,99890,17361,New
7467,Toyota,Prius,2008,Black,169571,45824,New
7468,Toyota,Tacoma,2020,White,83239,65657,New
7469,Ford,Explorer,2000,Blue,27603,73749,Used
7470,Tesla,Generic Model 2,2002,Blue,109456,46892,Used
7471,Toyota,Tacoma,2019,Black,25826,7831,New
7472,Subaru,Generic Model 2,2017,Green,165713,54923,New
7473,Audi,Generic Model 2,1996,Blue,95175,77316,Used
7474,Mazda,Generic Model 2,2006,Green,88146,16145,New
7475,Mercedes-Benz,Generic Model 1,2018,Silver,175291,67403,New
7476,Subaru,Generic Model 1,2020,White,118254,49575,New
7477,Lexus,Generic Model 2,2022,Blue,71443,69955,Used
7478,Toyota,RAV4,1990,Silver,16924,64588,Used
7479,Hyundai,Generic Model 1,2000,White,1084,48401,Used
